slug,name,level,schemes_count
department-of-women-and-child-development-madhya-pradesh,"Department of Women & Child Development, Madhya Pradesh",state,18
department-of-women-and-child-development-maharashtra,"Department of Women & Child Development, Maharashtra",state,22
department-of-women-and-child-development-manipur,"Department of Women & Child Development, Manipur",state,6
department-of-women-and-child-development-meghalaya,"Department of Women & Child Development, Meghalaya",state,6
department-of-women-and-child-development-mizoram,"Department of Women & Child Development, Mizoram",state,6
department-of-women-and-child-development-nagaland,"Department of Women & Child Development, Nagaland",state,6
department-of-women-and-child-development-odisha,"Department of Women & Child Development, Odisha",state,18
department-of-women-and-child-development-puducherry,"Department of Women & Child Development, Puducherry",state,6
department-of-women-and-child-development-punjab,"Department of Women & Child Development, Punjab",state,13
department-of-women-and-child-development-rajasthan,"Department of Women & Child Development, Rajasthan",state,18
department-of-women-and-child-development-sikkim,"Department of Women & Child Development, Sikkim",state,6
department-of-women-and-child-development-tamil-nadu,"Department of Women & Child Development, Tamil Nadu",state,18
department-of-women-and-child-development-telangana,"Department of Women & Child Development, Telangana",state,18
department-of-women-and-child-development-tripura,"Department of Women & Child Development, Tripura",state,6
department-of-women-and-child-development-uttar-pradesh,"Department of Women & Child Development, Uttar Pradesh",state,24
department-of-women-and-child-development-uttarakhand,"Department of Women & Child Development, Uttarakhand",state,12
department-of-women-and-child-development-west-bengal,"Department of Women & Child Development, West Bengal",state,18
ministry-of-agriculture-and-farmers-welfare,Ministry of Agriculture and Farmers Welfare,central,802
ministry-of-education,Ministry of Education,central,1
ministry-of-finance,Ministry of Finance,central,4
ministry-of-health-and-family-welfare,Ministry of Health and Family Welfare,central,1
ministry-of-micro-small-and-medium-enterprises,"Ministry of Micro, Small and Medium Enterprises",central,1
ministry-of-petroleum-and-natural-gas,Ministry of Petroleum and Natural Gas,central,1
ministry-of-rural-development,Ministry of Rural Development,central,2
ministry-of-social-justice-and-empowerment,Ministry of Social Justice and Empowerment,central,1
ministry-of-women-and-child-development,Ministry of Women and Child Development,central,1
tribal-affairs-department-government-of-madhya-pradesh,"Tribal Affairs Department, Government of Madhya Pradesh",state,1
